                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.2077,                0.91504,                 1.3495,                0.76842,                0.76494,                0.81904,                0.50202,                 1.3406,                0.95335,                 1.4169,               0.001288,               0.001288,               0.001288
                     91,                 1.1524,                0.82172,                 1.2989,                0.78268,                0.73572,                0.81833,                0.50148,                 1.3407,                0.95442,                 1.4167,               0.001189,               0.001189,               0.001189
                     92,                 1.1376,                0.80232,                 1.2987,                 0.8182,                0.71979,                0.82116,                0.50169,                 1.3391,                0.95906,                 1.4125,                0.00109,                0.00109,                0.00109
                     93,                 1.1376,                0.79487,                 1.2881,                0.84619,                0.70518,                0.82581,                 0.5077,                 1.3308,                0.94947,                  1.412,               0.000991,               0.000991,               0.000991
                     94,                 1.1185,                0.77738,                 1.2809,                0.81569,                0.73468,                0.82749,                0.50736,                 1.3313,                0.93741,                 1.4112,               0.000892,               0.000892,               0.000892
                     95,                 1.1173,                0.76964,                  1.272,                0.82706,                0.71182,                0.82596,                0.50767,                 1.3375,                0.93812,                 1.4167,               0.000793,               0.000793,               0.000793
                     96,                 1.1109,                0.77438,                 1.2732,                0.83455,                0.71005,                0.82074,                0.50779,                 1.3352,                0.93372,                  1.419,               0.000694,               0.000694,               0.000694
                     97,                 1.0965,                0.76713,                 1.2713,                0.83507,                0.72112,                0.82019,                0.50198,                 1.3375,                0.94252,                 1.4223,               0.000595,               0.000595,               0.000595
                     98,                 1.0971,                0.75032,                 1.2684,                0.84888,                0.70869,                0.82087,                0.50701,                 1.3334,                0.93189,                 1.4207,               0.000496,               0.000496,               0.000496
                     99,                 1.0912,                0.75627,                 1.2561,                0.84366,                0.70949,                0.82765,                0.50835,                 1.3372,                0.93039,                 1.4206,               0.000397,               0.000397,               0.000397
                    100,                 1.0902,                 0.7531,                 1.2581,                0.82811,                0.72112,                 0.8258,                0.50867,                 1.3372,                0.93366,                 1.4224,               0.000298,               0.000298,               0.000298
